user_name,final_utility_score
풍경108,31.98
고나꼬나,31.9
hskim794260,31.2
드림캐쳐어,31.2
ashipjiman,31.2
호으풍,31.2
a0****,31.2
홈질부인,31.2
아이리스6988,31.2
소하1940,31.2
bjk****,31.2
박미영58,31.02
서현나나,30.42
뽀우pfou,30.42
자유4444,30.42
나무꾼90,30.42
고민중19,30.42
skzzang75,30.42
smr****,30.42
s_****,30.42
찐으로맛난걸좋아함,30.42
sel****,30.42
리시안96,30.42
뚜쉬26,30.42
림1671,29.64
오렌지45,29.64
윤호맘96,29.64
Danapa,29.64
qpt1580,29.64
say****,29.64
풍요맨,29.64
dbs****,29.64
효땡2,29.64
ydh3200,29.64
하늘바다야,29.64
092****,29.64
mag****,29.64
앨리스여왕,29.64
애옹9,29.64
은하별 하늘,29.64
MikeLee,29.64
joa****,29.64
Eddkn,29.64
sb9****,29.64
나지브,29.64
닉네임은최대20자까지작성가능합니다람쥐,29.64
Hihihi12377,29.64
칠순이77,29.64
퀸즈제이,28.86
지연맘50,28.86
qwas8730,28.86
Nanna13,28.86
tiare017,28.86
ㅇㅈㄱ피곤해,28.86
ssk****,23.91
가을좋아좋아,23.86
아자아자 화이팅77,23.72
pisces0128,23.09
dmr110,21.15
hey****,18.28
got****,15.97
쵸콜릿58,13.73
los****,13.08
온22,9.82
ehr****,9.68
Hello773,9.68
ub****,9.29
zar****,9.04
sdjang8,9.04
미라클shy,9.04
skd****,8.56
kki****,8.26
연은윤,8.26
ooi****,8.26
아아2330,7.81
